EMPID,FIRSTNAME,LASTNAME,EMAIL,PHONENO,SALARY,DEPID
1,Bob,Brown,bob.brown1@company.com,943-965-5248,102660,40
2,Bob,Rodriguez,bob.rodriguez2@company.com,910-716-6131,46677,20
3,Bob,Rodriguez,bob.rodriguez3@company.com,310-280-3998,45242,10
4,Eve,Martinez,eve.martinez4@company.com,178-263-6893,145902,40
5,Henry,Johnson,henry.johnson5@company.com,748-580-6186,148526,40
6,Henry,Jones,henry.jones6@company.com,596-269-2917,142611,10
7,Diana,Williams,diana.williams7@company.com,749-857-5907,47928,40
8,Diana,Johnson,diana.johnson8@company.com,228-803-7397,73823,40
9,Bob,Johnson,bob.johnson9@company.com,404-521-5689,45122,30
10,Diana,Johnson,diana.johnson10@company.com,634-526-7992,92664,30
11,Jane,Rodriguez,jane.rodriguez11@company.com,469-871-3331,127723,10
12,Henry,Davis,henry.davis12@company.com,160-256-4194,112481,30
13,Bob,Miller,bob.miller13@company.com,877-801-3440,54549,20
14,Grace,Martinez,grace.martinez14@company.com,821-837-7927,56660,20
15,John,Smith,john.smith15@company.com,188-633-1546,146869,20
16,Frank,Johnson,frank.johnson16@company.com,832-864-2532,53972,30
17,Henry,Garcia,henry.garcia17@company.com,361-498-7364,40209,20
18,John,Jones,john.jones18@company.com,708-867-2266,47263,20
19,Grace,Miller,grace.miller19@company.com,775-227-9932,133901,30
20,Henry,Jones,henry.jones20@company.com,461-485-4050,113778,30
21,Diana,Johnson,diana.johnson21@company.com,333-858-1082,100230,10
22,Frank,Miller,frank.miller22@company.com,845-736-2621,90226,40
23,Henry,Garcia,henry.garcia23@company.com,301-433-3159,44862,40
24,Grace,Rodriguez,grace.rodriguez24@company.com,524-519-9583,36327,20
25,Diana,Smith,diana.smith25@company.com,641-734-7718,134016,20
